org_name,address,city,zip,state,phone,category,services
24/7 PARENTAL CARE HOME,8132 PECAN VALLEY AVENUE,LAS VEGAS,89131,NV,702-271-0353,senior-services,assisted-living-group
A & J CARE HOME,5217 W GOWAN ROAD,LAS VEGAS,89130,NV,702-645-2291,senior-services,assisted-living-group
A PRECIOUS GEMS ADULT CARE,1733 HUNTERS BLUFF DRIVE,NORTH LAS VEGAS,89032,NV,702-636-5501,senior-services,assisted-living-group
A R C H OF LAS  VEGAS,9483 LIGHTNING BAY CT ,LAS VEGAS,89123,NV,702-616-2588,senior-services,assisted-living-group
A VIBRANT SPIRIT SENIOR CARE,4354 E HARMON AVE ,LAS VEGAS,89121,NV,702-327-7137,senior-services,assisted-living-group
ABINGTON MANOR,478 PEARBERRY AVE ,LAS VEGAS,89183,NV,702-837-6968,senior-services,assisted-living-group
ABSOLUTE CIRCLE OF CARE ACKERMAN,7385 ACKERMAN AVE ,LAS VEGAS,89131,NV,702-655-1544,senior-services,assisted-living-group
ACACIA OASIS,8630 W. NEVSO DRIVE ,LAS VEGAS,89147,NV,702-942-8700,senior-services,assisted-living-group
ADULT COMFORT AND CARE HOME 2,10315 QUEENSBURY AVENUE,LAS VEGAS,89135,NV,702-629-4663,senior-services,assisted-living-group
ADULT COMFORT AND CARE HOME LLC,2105 CARROLL ST ,LAS VEGAS,89030,NV,702-629-4663,senior-services,assisted-living-group
ADVANCED CARE FOR THE ELDERLY LLC,9501 MULROONA COURT ,LAS VEGAS,89129,NV,702-838-5818,senior-services,assisted-living-group
AEGIS OF LAS VEGAS,9100 W DESERT INN RD ,LAS VEGAS,89117,NV,702-240-3070,senior-services,assisted-living-group
ALEBRIS HOME CARE INC,1012 PARADISE VIEW STREET ,HENDERSON,89052,NV,702-235-2584,senior-services,assisted-living-group
ALEBRIS OF CRYSTAL SPRINGS,243 SAXONDALE AVENUE ,LAS VEGAS,89123,NV,702-235-2584,senior-services,assisted-living-group
ALEBRIS OF SILVERADO RANCH,508 PEARBERRY AVE ,LAS VEGAS,89183,NV,702-837-6970,senior-services,assisted-living-group
ALEBRIS OF SUMMERLIN,9708 ENNISKEEN AVE ,LAS VEGAS,89129,NV,702-562-5074,senior-services,assisted-living-group
ALOHA HOME CARE II,7742 KIT CARSON AVENUE ,LAS VEGAS,89179,NV,702-858-4559,senior-services,assisted-living-group
ALTA CARE HOME,2007 ALTA DRIVE ,LAS VEGAS,89106,NV,702-384-6838,senior-services,assisted-living-group
ALZHEIMERS LUXURY CARE,2951 VIKING ROAD ,LAS VEGAS,89121,NV,702-471-7204,senior-services,assisted-living-group
AMEERY CARE,333 PRINCE GEORGE ROAD ,LAS VEGAS,89123,NV,801-644-4706,senior-services,assisted-living-group
AMEERY CARE II,271 E DESERT ROSE DR ,HENDERSON,89015,NV,702-608-7238,senior-services,assisted-living-group
AMERICAN SENIOR HOME,185 EAST WINDMILL LANE ,LAS VEGAS,89123,NV,702-403-3661,senior-services,assisted-living-group
AMERICAN SENIOR HOME – ROBINDALE,465 EAST ROBINDALE,LAS VEGAS,89123,NV,702-460-1267,senior-services,assisted-living-group
AMETHYST CARE HOME LLC,3702 INTERNET AVENUE,NORTH LAS VEGAS,89031,NV,702-636-8916,senior-services,assisted-living-group
ANGEL CARE RESIDENTIAL HOME,5559 TROOPER STREET ,LAS VEGAS,89120,NV,702-910-3611,senior-services,assisted-living-group
ANGEL PRESTIGE,3712 SPITZE DRIVE ,LAS VEGAS,89103,NV,702-871-8606,senior-services,assisted-living-group
ANGELS CARE,1905 S 17TH STREET ,LAS VEGAS,89104,NV,702-733-0992,senior-services,assisted-living-group
ANGELS HOUSE ADULT CARE,5496 TAMARUS STREET ,LAS VEGAS,89119,NV,702-262-9062,senior-services,assisted-living-group
AS TIME GOES BY III,4125 BUTLER ,LAS VEGAS,89129,NV,702-655-5557,senior-services,assisted-living-group
AS TIME GOES BY V,4149 JORY TRAIL ,LAS VEGAS,89108,NV,702-655-7175,senior-services,assisted-living-group
AS TIME GOES BY VII,4240 AL CARRISON,LAS VEGAS,89129,NV,702-683-4568,senior-services,assisted-living-group
AT ROYAL VILLA HOME CARE,2970 S TORREY PINES RD ,LAS VEGAS,89146,NV,702-257-0176,senior-services,assisted-living-group
ATRIA SEVILLE,2000 N RAMPART ,LAS VEGAS,89128,NV,702-804-6800,senior-services,assisted-living-group
ATRIA SUTTON,3185 E FLAMINGO ROAD ,LAS VEGAS,89121,NV,702-436-9000,senior-services,assisted-living-group
AVALON HEALTH ESTATES,7450 DEL REY AVE ,LAS VEGAS,89117,NV,702-240-6102,senior-services,assisted-living-group
AVENIR MEMORY CARE AT SUMMERLIN,7395 SMOKE RANCH ROAD ,LAS VEGAS,89128,NV,702-749-9090,senior-services,assisted-living-group
AVONDALE CARE HOME,6215 EAST OWENS AVENUE ,LAS VEGAS,89110,NV,702-856-6443,senior-services,assisted-living-group
AVONLI CARE HOME,3364 ROSARIO CIRCLE,LAS VEGAS,89121,NV,702-856-6443,senior-services,assisted-living-group
BECKYS HOME CARE,4055 CLOUD NINE LANE ,LAS VEGAS,89115,NV,702-643-3380,senior-services,assisted-living-group
BEE HIVE HOMES OF LOVELOCK LLC,685 AMHERST AVE ,LOVELOCK,89419,NV,775-273-2246,senior-services,assisted-living-group
BEE HIVE HOMES OF MESQUITE,780 WEST SECOND SOUTH ,MESQUITE,89027,NV,505-270-9989,senior-services,assisted-living-group
BEE HIVE HOMES OF PARADISE VALLEY INC,3841 E TWAIN ,LAS VEGAS,89121,NV,702-454-9080,senior-services,assisted-living-group
BEEHIVE HOMES OF HENDERSON,1000 GREENWAY ROAD ,HENDERSON,89002,NV,702-566-6127,senior-services,assisted-living-group
BELLA CARE HOME,5905 CONCERT DR ,LAS VEGAS,89107,NV,702-838-7990,senior-services,assisted-living-group
BELLA ESTATE CARE HOME,3140 COACHLIGHT CIRCLE ,LAS VEGAS,89117,NV,702-220-4281,senior-services,assisted-living-group
BELLA VITA CARE HOME,9924 WONDERFUL DAY DRIVE ,LAS VEGAS,89148,NV,917-797-3265,senior-services,assisted-living-group
BEST HOME CARE AT WYOMING,4423 E WYOMING AVE ,LAS VEGAS,89104,NV,702-776-6737,senior-services,assisted-living-group
BETTER DAYS GROUP HOME,261 E ELDORADO LANE ,LAS VEGAS,89123,NV,702-794-2822,senior-services,assisted-living-group
BETTER LIVING CARE HOME,706 LACY LANE,LAS VEGAS,89107,NV,702-878-4519,senior-services,assisted-living-group
BETTER LIVING FOR SENIORS,9712 ENNISKEEN AVE ,LAS VEGAS,89129,NV,702-360-0415,senior-services,assisted-living-group
BETTER LIVING HOME CARE II,7481 ROME BLVD ,LAS VEGAS,89131,NV,702-982-1753,senior-services,assisted-living-group
BILLMAN HOUSE,3646 BILLMAN AVE,LAS VEGAS,89121,NV,702-778-2753,senior-services,assisted-living-group
BLUE SKY MEMORY CARE,8025 AMIGO STREET ,LAS VEGAS,89123,NV,702-497-2166,senior-services,assisted-living-group
BROOKDALE CHEYENNE,6031 WEST CHEYENNE AVE ,LAS VEGAS,89108,NV,702-658-5882,senior-services,assisted-living-group
BROOKDALE LAS VEGAS,3025 E RUSSELL ROAD,LAS VEGAS,89120,NV,702-451-7896,senior-services,assisted-living-group
CARING HEARTS CARE HOME LLC,64 NORTH PEARL STREET ,LAS VEGAS,89110,NV,702-437-8448,senior-services,assisted-living-group
CARMELA HOMES,5500 CLEARY COURT ,LAS VEGAS,89109,NV,702-636-0150,senior-services,assisted-living-group
CASA NORTE GROUP HOME,4935  NORTH MILLER LN ,LAS VEGAS,89149,NV,702-656-0602,senior-services,assisted-living-group
CASA OLIVA,3209 CEDAR STREET,LAS VEGAS,89104,NV,702-431-0672,senior-services,assisted-living-group
CHARLESTON RIDGE SENIORS HOME,5313 PADUA WAY ,LAS VEGAS,89107,NV,702-258-1669,senior-services,assisted-living-group
"CHATEAU AMORE, LLC",7830 SPENCER ST,LAS VEGAS,89123,NV,702-203-3009,senior-services,assisted-living-group
CHERUBS RETIREMENT HOME,2624 VALPARAISO STREET ,LAS VEGAS,89108,NV,702-656-4857,senior-services,assisted-living-group
CHUTNEY RESIDENTIAL HOME,3881 CHUTNEY ST ,LAS VEGAS,89121,NV,702-866-6750,senior-services,assisted-living-group
CJ HOMES,1627 GABRIEL DRIVE ,LAS VEGAS,89119,NV,702-798-8246,senior-services,assisted-living-group
CLIMBING ROSE CARE HOME,3848 CLIMBING ROSE ST ,LAS VEGAS,89147,NV,702-362-1188,senior-services,assisted-living-group
CNC ALZHEIMERS HOME CARE,7765 CLEARWOOD AVE ,LAS VEGAS,89123,NV,702-798-8008,senior-services,assisted-living-group
CORONADO HEIGHTS SENIOR LIVING,2320 IONE ROAD,LAS VEGAS,89183,NV,725-200-3400,senior-services,assisted-living-group
COVENANT OF LOVE,1213 BALZAR AVE,LAS VEGAS,89106,NV,702-810-4830,senior-services,assisted-living-group
DARLINGTON MANOR,339 EMDEN ST,HENDERSON,89015,NV,702-361-5926,senior-services,assisted-living-group
DAWN GARDEN HOME CARE,9190 DAWN GARDEN AVE ,LAS VEGAS,89147,NV,702-405-0991,senior-services,assisted-living-group
DESERT INN RESIDENTIAL CARE,2845 BURNHAM AVENUE ,LAS VEGAS,89109,NV,702-894-9252,senior-services,assisted-living-group
DESERT SPRINGS SENIOR LIVING,6650 W FLAMINGO RD LAS VEGAS NV 89103,LAS VEGAS,89103,NV,702-732-2800,senior-services,assisted-living-group
DESERT VIEW SENIOR LIVING,3890 NORTH BUFFALO DRIVE ,LAS VEGAS,89129,NV,702-333-4346,senior-services,assisted-living-group
DESTINATIONS AT OAKEY ASSISTED LIVING COMMUNITY,3900 W OAKEY BLVD ,LAS VEGAS,89102,NV,702-258-7572,senior-services,assisted-living-group
DIAMOND RETIREMENT LIVING,335 W SHERWOOD DR,HENDERSON,89015,NV,702-496-6906,senior-services,assisted-living-group
DIGNIFIED CARE MANOR,2915 EL CAMINO RD,LAS VEGAS,89146,NV,702-227-5222,senior-services,assisted-living-group
"DIGNITY CARE HOME, LLC",3740 LA JUNTA DRIVE,LAS VEGAS,89120,NV,702-595-0058,senior-services,assisted-living-group
DUNCAN MANOR GROUP HOME,6165 DUNCAN DRIVE ,LAS VEGAS,89108,NV,702-396-4663,senior-services,assisted-living-group
ELKHORN JONES MEMORY CARE LLC,6017 ELKHORN ROAD,LAS VEGAS,89131,NV,702-247-7788,senior-services,assisted-living-group
EMILIE’S HOME CARE LLC,3856 JEWEL AVENUE,LAS VEGAS,89121,NV,702-434-5882,senior-services,assisted-living-group
EUROPEAN HOME CARE,3212 EL CAMINO RD ,LAS VEGAS,89146,NV,714-797-9927,senior-services,assisted-living-group
EUROPEAN SENIORS LIVING LLC,3045 S. MONTE CRISTO WAY,LAS VEGAS,89117,NV,702-906-1284,senior-services,assisted-living-group
FAIRWAY RESIDENTIAL CARE HOME,3817 FAIRWAY CIRCLE ,LAS VEGAS,89108,NV,702-646-9224,senior-services,assisted-living-group
FAITH SHARI 3,4504 LA ROCA CIR,LAS VEGAS,89121,NV,702-767-2881,senior-services,assisted-living-group
FAITH SHARI ADULT CARE II,6215 EAST OWENS AVE,LAS VEGAS,89110,NV,702-856-6443,senior-services,assisted-living-group
FAITH SHARI GROUP HOME,3364 ROSARIO CIRCLE ,LAS VEGAS,89121,NV,702-856-6443,senior-services,assisted-living-group
FLORENCE SENIOR CARE HOME,2338 FLORENCE AVENUE ,LAS VEGAS,89119,NV,702-798-0711,senior-services,assisted-living-group
FOREVER LIVING RESIDENCE HOME CARE LLC,1608 AZTEC WAY,LAS VEGAS,89169,NV,702-331-1695,senior-services,assisted-living-group
FORGET ME NOT HOME CARE I,5513 FLORA SPRAY ST,LAS VEGAS,89130,NV,702-461-5862,senior-services,assisted-living-group
GARDEN BREEZE ALZHEIMER VILLA,950 GARDEN BREEZE WAY ,LAS VEGAS,89123,NV,702-616-2489,senior-services,assisted-living-group
GENTLE BREEZE CARE HOME,6862 BAILE RD,LAS VEGAS,89146,NV,702-816-4591,senior-services,assisted-living-group
GENTLE SPRING CARE HOME,6418 SPRING MEADOW DRIVE ,LAS VEGAS,89103,NV,702-478-5997,senior-services,assisted-living-group
GOLDEN LAKE CARE HOME,9719 TUMBLE LAKE COURT,LAS VEGAS,89147,NV,702-471-0221,senior-services,assisted-living-group
GOLDEN MEADOWS RESIDENTIAL,4119 MEADOWGLEN CIRCLE ,LAS VEGAS,89121,NV,702-434-7040,senior-services,assisted-living-group
GOLDEN SUNSHINE HOME,8333 JEREMIAH LODGE AVE,LAS VEGAS,89131,NV,702-845-3974,senior-services,assisted-living-group
GOLDEN VILLA CARE HOME,1505 DUNEVILLE ST,LAS VEGAS,89146,NV,702-998-6185,senior-services,assisted-living-group
GOLDEN YEARS MEMORY CARE LLC,8920 LOGGERS MILL AVENUE,LAS VEGAS,89143,NV,702-435-1976,senior-services,assisted-living-group
"GOLDEN YEARS RESIDENTIAL CARE, LLC",2945 MAVERICK ST. ,LAS VEGAS,89108,NV,714-728-1270,senior-services,assisted-living-group
GOOD SAM CARE HOME INC,3226 KEMP STREET ,NORTH LAS VEGAS,89032,NV,702-636-1087,senior-services,assisted-living-group
GOOD SAMARITAN GROUP HOME INC,3696 S PECOS ROAD,LAS VEGAS,89121,NV,702-463-3653,senior-services,assisted-living-group
GOOD SHEPHERD REST HOME I,2830 CEDAR STREET,LAS VEGAS,89104,NV,702-432-9556,senior-services,assisted-living-group
GOOD SHEPHERD REST HOME IV,4089 E BOSTON AVENUE ,LAS VEGAS,89104,NV,702-457-5392,senior-services,assisted-living-group
GRACE OF MONACO – SECTION 10,7460 PALMYRA AVE ,LAS VEGAS,89117,NV,702-522-7741,senior-services,assisted-living-group
GRACE OF MONACO ANGEL PARK,8617 HIGHLANDVIEW AVE ,LAS VEGAS,89145,NV,702-360-5003,senior-services,assisted-living-group
HACIENDA CARE HOME,5320 SHARON MARIE COURT ,LAS VEGAS,89118,NV,702-854-9251,senior-services,assisted-living-group
HACIENDA HILL MANOR,5544 SURREY STREET ,LAS VEGAS,89119,NV,702-597-4697,senior-services,assisted-living-group
HAPPY ADULT CARE,1905 QUAIL POINT COURT,LAS VEGAS,89117,NV,702-838-6388,senior-services,assisted-living-group
HAPPY ADULT CARE II,2021 SEDONA MORNING DR ,LAS VEGAS,89128,NV,702-638-2888,senior-services,assisted-living-group
HASTINGS HOUSE,3253 HASTINGS AVENUE,LAS VEGAS,89107,NV,702-821-0823,senior-services,assisted-living-group
HEALTH LIFE LLC,5220 RANCHER AVE ,LAS VEGAS,89108,NV,702-515-1393,senior-services,assisted-living-group
HEALTHY HOME CARE,1812 STARBUCK DRIVE,LAS VEGAS,89108,NV,702-269-8217,senior-services,assisted-living-group
HELPING HANDS CARE HOME,2757 GALLANT HILLS DRIVE,LAS VEGAS,89135,NV,702-324-0314,senior-services,assisted-living-group
HELPING HANDS CARE HOME II,11745 STONEWALL SPRINGS AVE,LAS VEGAS,89138,NV,702-445-0088,senior-services,assisted-living-group
HERITAGE SPRINGS ASSISTED LIVING & MEMORY CARE,8720 W FLAMINGO ROAD,LAS VEGAS,89147,NV,702-360-6023,senior-services,assisted-living-group
HILLSIDE MANOR AT MOUNTAINS EDGE,9651 TRATTORIA ST,LAS VEGAS,89178,NV,702-244-0400,senior-services,assisted-living-group
HOLY ANGEL CARE HOME I,1517 GENTLE BROOK STREET,NORTH LAS VEGAS,89084,NV,702-443-1964,senior-services,assisted-living-group
HOUSE OF GRACE,7017 CARMEN BLVD ,LAS VEGAS,89128,NV,702-240-8555,senior-services,assisted-living-group
IN TOUCH RESIDENTIAL CARE I,4131 SATINWOOD DR,LAS VEGAS,89147,NV,702-362-1970,senior-services,assisted-living-group
IN TOUCH RESIDENTIAL CARE II,7457 WALNUT CREEK DRIVE,LAS VEGAS,89147,NV,702-876-7783,senior-services,assisted-living-group
INFINITE CARE,3821 TOPAZ ST,LAS VEGAS,89121,NV,702-722-2896,senior-services,assisted-living-group
JCR HOME CARE INC,7160 DARBY AVE ,LAS VEGAS,89117,NV,702-453-3861,senior-services,assisted-living-group
JOHNNY ANGEL’S CARE HOME,4460 MARLENA CIRCLE,LAS VEGAS,89129,NV,702-636-1140,senior-services,assisted-living-group
JOYFUL SENIOR CARE,5408 TOPAZ STREET ,LAS VEGAS,89120,NV,702-433-3735,senior-services,assisted-living-group
JOYFUL SENIOR CARE HAVEN 2,4353 JODI AVE ,LAS VEGAS,89120,NV,702-433-3735,senior-services,assisted-living-group
JOYS REST HOME,4235 PATTERSON AVE,LAS VEGAS,89104,NV,702-431-4143,senior-services,assisted-living-group
KIND HEARTS CARE HOME LLC,386 SEVERN CT,HENDERSON,89002,NV,702-629-3594,senior-services,assisted-living-group
L & J GROUP HOMECARE,1604 WILDWOOD DRIVE,LAS VEGAS,89108,NV,702-648-3880,senior-services,assisted-living-group
LAKE MEAD CARE HOME,4325 W LAKE MEAD BLVD,LAS VEGAS,89108,NV,702-339-6727,senior-services,assisted-living-group
LAKEVIEW TERRACE RETIREMENT COMMUNITY,180 VILLE DRIVE,BOULDER CITY,89005,NV,702-293-0181,senior-services,assisted-living-group
LAS VEGAS ALZHEIMER & MEMORY CARE 2,3225 BRAZOS STREET ,LAS VEGAS,89169,NV,702-471-7204,senior-services,assisted-living-group
LAS VEGAS ALZHEIMERS & MEMORY CARE 1,3224 BRAZOS STREET,LAS VEGAS,89169,NV,702-737-4396,senior-services,assisted-living-group
